YearMonth,MonthlyRevenue,MonthlyOrders,AverageOrderValue
2023-01,56685.75,47,1206.08
2023-02,40117.66,37,1084.26
2023-03,48609.37,43,1130.45
2023-04,27751.71,31,895.22
2023-05,63836.84,49,1302.79
2023-06,49500.19,45,1100.0
2023-07,42820.66,44,973.2
2023-08,54352.14,51,1065.73
2023-09,29526.67,29,1018.16
2023-10,52607.85,47,1119.32
2023-11,43079.67,41,1050.72
2023-12,43754.73,46,951.19
2024-01,38528.08,32,1204.0
2024-02,36909.57,32,1153.42
2024-03,36030.9,36,1000.86
2024-04,49613.14,50,992.26
2024-05,27909.11,34,820.86
2024-06,68068.54,53,1284.31
2024-07,42963.98,43,999.16
2024-08,31991.07,28,1142.54
2024-09,39794.98,44,904.43
2024-10,37226.97,31,1200.87
2024-11,32413.76,35,926.11
2024-12,38785.77,41,945.99
2025-01,29099.4,27,1077.76
2025-02,35317.55,37,954.53
2025-03,39200.66,49,800.01
2025-04,31821.2,32,994.41
2025-05,43396.64,37,1172.88
2025-06,53047.4,49,1082.6
